strategy,domain,edge_size,n_trades,n_bets,pnl,roi,win_rate,brier_model,brier_market,brier_improvement,max_drawdown,sharpe
calibrated,sports,5%,1000,532,113574.41,1135.74,57.0,0.2084,0.2111,0.0027,58.5,1.96
calibrated,sports,10%,1000,464,93072.64,930.73,57.8,0.2075,0.2111,0.0035,58.0,2.09
flb,sports,1%,1000,0,0.0,0.0,0.0,0.21133090669892263,0.21107268171883237,0.0,0.0,0.0
flb,sports,3%,1000,0,0.0,0.0,0.0,0.21143398058968607,0.21107268171883237,0.0,0.0,0.0
flb,sports,5%,1000,0,0.0,0.0,0.0,0.21155154786245328,0.21107268171883237,0.0,0.0,0.0
flb,sports,10%,1000,0,0.0,0.0,0.0,0.21191424244360962,0.21107268171883237,0.0,0.0,0.0
reference_class,sports,1%,1000,634,22297.18,222.97,54.6,0.2162,0.2111,-0.0051,73.7,0.37
reference_class,sports,3%,1000,618,49389.67,493.9,56.0,0.2096,0.2111,0.0014,73.2,0.94
reference_class,sports,5%,1000,572,151801.26,1518.01,57.5,0.2084,0.2111,0.0027,60.3,2.01
reference_class,sports,10%,1000,502,142775.98,1427.76,57.4,0.2073,0.2111,0.0038,63.6,2.24
